iter	RMSE
0	1.189395235
1	1.182260827
2	1.175107718
3	1.167774268
4	1.160678465
5	1.153700622
6	1.146997105
7	1.140358158
8	1.13410353
9	1.127402693
10	1.120711809
11	1.114462569
12	1.107820596
13	1.101462068114	1.09487434215	1.080528125
16	1.07414108
17	1.067957409
18	1.06168688
19	1.055898527
20	1.05020557
21	1.043847641
22	1.037731327
23	1.03156133
24	1.026006192
25	1.020712049
26	1.014909176
27	1.009245832
28	1.003542461
29	0.9981811315
30	0.9931352035
31	0.9875939872
32	0.9820488927
33	0.9769395974
34	0.9718039767
35	0.967094736
36	0.9620377995
37	0.956514146
38	0.9515434685
39	0.9470745941
40	0.9419561544
41	0.9370782099
42	0.932377476
43	0.9276916061
44	0.9231133053
45	0.9181722729
46	0.9135980474
47	0.9090631299
48	0.9046320452
49	0.89997825
50	0.8956985177
51	0.8913462015
52	0.8867659517
53	0.8825433426
54	0.8783988269
55	0.8744988093
56	0.8703198626
57	0.8664223459
58	0.8622665527
59	0.8582913222
60	0.8541383255
61	0.8503051922
62	0.8465210751
63	0.8425775599
64	0.8391321405
65	0.8352355161
66	0.831647182
67	0.828017595
68	0.824425008
69	0.8209155397
70	0.8172079476
71	0.8137853801
72	0.8099187308
73	0.806250771
74	0.8027855074
75	0.7994656002
76	0.7961504784
77	0.7930299593
78	0.7894889208
79	0.7865474914
80	0.7833961247
81	0.7801594975
82	0.7767849144
83	0.7736449477
84	0.7704144665
85	0.7671274201
86	0.7639803417
87	0.7608167408
88	0.7578287418
89	0.7549755854
90	0.7519163564
91	0.7488023477
92	0.7458165831
93	0.7429749145
94	0.7403019929
95	0.7374018527
96	0.7345985926
97	0.7317269071
98	0.729021441
99	0.7262914562
100	0.7234247978
101	0.7205976753
102	0.7181787152
103	0.7156773662
104	0.7132712528
105	0.7107693573
106	0.7079891327
107	0.7055448741
108	0.703432217
109	0.7009542778
110	0.6987318062
111	0.696326822
112	0.6940804601
113	0.6917947916
114	0.6896073909
115	0.6875085982
116	0.6853754134
117	0.6831246315
118	0.6808801441
119	0.6785573642
120	0.6762729288
121	0.6739310407
122	0.671651649
123	0.6697694681
124	0.6675702781
125	0.6655091879
126	0.6635708176
127	0.6616335411
128	0.659571635
129	0.6574833894
130	0.6554459131
131	0.6536066519
132	0.6517565962
133	0.6496989488
134	0.6477671743
135	0.6459411409
136	0.644020397
137	0.6424369178
138	0.6407799593
139	0.6389032044
140	0.6370133423
141	0.6350940144
142	0.6331231814
143	0.6315900061
144	0.6297378521
145	0.6280317558
146	0.6261722641
147	0.624425834
148	0.6226718667
149	0.6209692384
150	0.6192863467
151	0.6176834959
152	0.6161695891
153	0.614376072
154	0.6126028863
155	0.6110088734
156	0.6095223533
157	0.6079848392
158	0.6064275385
159	0.60505869
160	0.6035949681
161	0.6021456143
162	0.6008585922
163	0.5994137502
164	0.5979013445
165	0.596383373
166	0.5949959709
167	0.5935969208
168	0.5920202442
169	0.5907887263
170	0.5894218616
171	0.5879290771
172	0.5866147485
173	0.5851665795
174	0.5838770868
175	0.5824979377
176	0.581203131
177	0.5800032559
178	0.5785787913
179	0.5772200574
180	0.5759653705
181	0.5747145728
182	0.5734322323
183	0.5722205322
184	0.5709662401
185	0.5697880349
186	0.5685850606
187	0.5674580405
188	0.5663690426
189	0.5652466609
190	0.5639281544
191	0.5626723976
192	0.5615350548
193	0.560563287
194	0.5593970273
195	0.5582145437
196	0.5570911996
197	0.5560132904
198	0.5548752269
199	0.5536970239
200	0.5525682392
201	0.551562504
202	0.5504304739
