iter	Passed	Remaining
0	7	7103
1	12	6017
2	15	4998
3	19	4863
4	22	4416
5	26	4465
6	31	4471
7	36	4554
8	41	4552
9	45	4530
10	48	4396
11	51	4258
12	56	4254
13	58	4124
14	62	4098
15	72	4443
16	76	4442
17	81	4433
18	85	4425
19	91	4460
20	94	4421
21	99	4413
22	104	4431223	108	4426224	113	4436225	118	4430226	123	4442227	127	4439228	132	4433229	136	4427330	141	4415331	145	4404332	150	4410333	155	4407334	160	4421
35	166	4462
36	171	4455337	175	4450
38	181	4462
39	186	4464
40	191	4479
41	196	4483
42	201	4491
43	206	4483
44	211	4490
45	216	4483
46	221	4481447	225	4477448	230	4470449	235	4475550	240	4475551	245	4472552	248	4434553	252	4430554	257	4421555	261	4412556	266	4416557	271	4413558	276	4415559	283	4437
60	286	4404661	290	4402662	293	4367663	298	4362664	302	4353665	307	4346666	311	433967	312	4276
68	316	4272
669	326	4334770	331	4342771	337	4344772	341	4334773	346	4330774	350	432175	349	4252
76	354	4247
777	364	4310778	369	4302779	373	4291880	378	4297881	383	4291882	387	4283883	392	4277884	397	4281885	402	427586	401	4216
87	406	4212
88	411	4207
889	419	4242990	423	423491	424	4192
92	429	4189
93	434	4187
94	439	4185
95	444	4188
96	449	4185
97	454	4179
98	459	4179
99	463	4174
100	468	4168
101	473	4166
102	477	4160
103	481	4152
104	486	4146
105	491	4144
106	496	4141
107	501	4139
108	504	4125
109	509	4119
110	514	4120
111	519	4118
112	524	4118
113	530	4121
114	535	4118
1115	545	4154116	545	4116
117	550	4113
118	556	4121
119	561	4120
120	567	4120
121	573	4124
122	578	4121
123	583	4122
124	588	4122
125	594	4123
126	599	4121
127	605	4121
128	610	4121
129	616	4123
130	622	4129
131	627	4126
132	633	4130
133	639	4135
134	644	4131
135	650	4133
136	655	4126
137	659	4118
138	664	4116
139	669	4112
140	674	4107
141	678	4102
142	683	4097
143	688	4091
144	693	4087
145	698	4087
146	703	4081
147	707	4075
148	712	4070
149	717	4066
150	722	4060
151	727	4056
152	731	4047
153	735	4042
154	741	4039
155	744	4029
156	749	4024
157	754	4018
158	758	4012
159	764	4012
160	768	4006
161	773	4002
162	779	4001
163	783	3996
164	788	3990
165	793	3986
166	798	3982
167	802	3975
168	807	3972
169	813	3971
170	818	3966
171	822	3959
172	829	3965
173	834	3960
174	839	3955
175	841	3941
176	846	3935
177	851	3929
178	855	3923
179	861	3924
180	874	3956
181	879	3951
182	884	3948
183	889	3946
184	894	3941
185	900	3941
186	905	3936
187	910	3934
188	918	3939
189	922	3932
190	926	3926
191	934	3931
192	939	3928
193	944	3925
194	950	3923
195	955	3918
196	960	3914
197	965	3909
198	969	3902
199	974	3897
200	979	3891
201	983	3886
202	988	3882
203	993	3875
204	997	3868
205	1002	3864
206	1007	3860
207	1012	3854
208	1016	3847
209	1022	3845
210	1026	3839
211	1031	3832
212	1036	3829
213	1041	3825
214	1046	3819
215	1051	3816
216	1055	3810
217	1060	3803
218	1064	3797
219	1070	3796
220	1075	3789
221	1079	3783
222	1084	3778
223	1088	3772
224	1093	3765
225	1098	3762
226	1103	3757
227	1109	3755
228	1114	3751
229	1119	3747
230	1124	3743
231	1129	3740
232	1135	3738
233	1140	3731
234	1144	3725
235	1147	3715
236	1152	3709
237	1157	3706
