iter	Logloss
0	0.6580536978
1	0.6253813485
2	0.5970242808
3	0.5701815573
4	0.5474091577
5	0.5208845076
6	0.5005471272
7	0.4793697868
8	0.4604442478
9	0.4420039479
10	0.427520996
11	0.4122596385
12	0.3967307394
13	0.3840206804
14	0.3717466708
15	0.3594042128
16	0.3479987123
17	0.3379286406
18	0.3280076576
19	0.3201397944
20	0.3123238976
21	0.3048148533
22	0.2975617593223	0.2909908216224	0.2849160462225	0.2795158348226	0.2741385396227	0.2693110423228	0.2642961778229	0.2606112288330	0.256445973
31	0.2527226975
32	0.248750287
33	0.2452756308
34	0.2417879076
35	0.2387904955
36	0.2365645305
37	0.233831811
38	0.2318343914
39	0.2294954188
40	0.2271746583
41	0.2250792728
42	0.2232118757
43	0.2216539995
44	0.2201302345
45	0.218260837
46	0.2168309904747	0.2153557804848	0.2138448454949	0.2123791735050	0.2110778065151	0.2097384765252	0.2089256825353	0.2077767755454	0.2067932155	55	0.2058899256	56	0.204944157	057	0.204113558	58	0.2033634659	59	0.2029249507
60	0.2024462261	61	0.2016791762	62	0.2012551563	63	0.200602476464	0.1998939796565	0.1992213546666	0.19861286967	0.1956229677
68	0.1950757817
6969	0.1966868357070	0.1961966067171	0.1957128487272	0.1950813947373	0.1945667057474	0.19414760675	0.1920973687
76	0.1917358927
7777	0.1928988007878	0.1923974497979	0.1920974738080	0.1917344108181	0.1913436188282	0.1910555278383	0.1907493358484	0.190491689885	0.190188286786	0.1885303568
87	0.188185911
88	0.187866663
89	89	0.1891972490	90	0.1889791891	0.1873062571
92	0.1871179489
93	0.1868358213
94	0.1866140666
95	0.1864056703
96	0.1860987857
97	0.1859182296
98	0.1857308343
99	0.185508385
100	0.185373714
101	0.1851869513
102	0.1850373641
103	0.1848829079
104	0.1847338781
105	0.1845786995
106	0.1843933156
107	0.1842062382
108	0.1841510105
109	0.1839882026
110	0.1838050114
111	0.1836409996
112	0.1834610481
113	0.1833617826
114	0.1831315273
1115	0.1840574522116	0.1828243777
117	0.1826616257
118	0.1825030125
