iter	Passed	Remaining
0	22	22309
1	24	12145
2	53	17761
3	77	19385
4	84	16755
5	106	17713
6	126	17993
7	137	17078
8	164	18121
9	189	18767
10	213	19174
11	236	19456
12	257	19544
13	278	19604
14	300	19700
15	321	19793
16	343	19882
17	364	19869
18	388	20050
19	409	20051
20	431	20119
21	454	20195
22	477	20278
23	499	20308
24	523	20417
25	545	20418
26	565	20394
27	587	20380
28	608	20386
29	636	20583
30	657	20558
31	681	20610
32	703	20620
33	725	20619
34	748	20641
35	752	20156
36	780	20304
37	803	20338
38	824	20324
39	846	20321
40	868	20309
41	890	20312
42	912	20313
43	938	20383
44	961	20407
45	984	20418
46	1006	20409
47	1030	20433
48	1052	20428
49	1076	20447
50	1080	20112
51	1103	20125
52	1110	19845
53	1131	19825
54	1153	19826
55	1174	19806
56	1180	19531
57	1202	19524
58	1224	19530
59	1249	19570
60	1274	19620
61	1301	19684
62	1342	19961
63	1350	19752
64	1375	19789
65	1402	19847
66	1421	19800
67	1440	19743
68	1463	19741
69	1466	19485
70	1485	19436
71	1507	19433
72	1529	19425
73	1550	19407
74	1574	19423
75	1597	19418
76	1623	19456
77	1654	19562
78	1677	19555
79	1699	19542
80	1721	19534
81	1744	19533
82	1771	19571
83	1795	19579
84	1818	19571
85	1840	19563
86	1862	19546
87	1885	19536
88	1909	19542
89	1937	19589
90	1961	19591
91	1984	19581
92	2006	19571
93	2030	19574
94	2051	19545
95	2072	19512
96	2096	19519
97	2119	19508
98	2145	19525
99	2165	19487
100	2184	19442
101	2205	19413
102	2206	19216
103	2230	19217
104	2257	19245
105	2281	19238
106	2304	19234
107	2328	19230
108	2352	19229
109	2375	19217
110	2400	19226
111	2426	19240
112	2461	19325
113	2486	19323
114	2509	19308
115	2532	19303
116	2566	19365
117	2589	19357
118	2614	19359
119	2638	19347
120	2662	19338
121	2686	19336
122	2713	19349
123	2740	19358
124	2765	19356
125	2789	19349
126	2822	19401
127	2843	19374
128	2868	19367
129	2892	19355
130	2913	19329
131	2937	19315
132	2960	19301
133	2984	19289
134	3007	19272
135	3035	19281
136	3059	19274
137	3080	19243
138	3100	19207
139	3121	19171
140	3141	19136
141	3161	19101
142	3181	19065
143	3201	19030
144	3221	18997
145	3246	18988
146	3267	18962
147	3289	18936
148	3311	18911
149	3331	18881
150	3353	18853
151	3373	18820
152	3399	18820
153	3420	18792
154	3442	18768
155	3463	18737
156	3483	18703
157	3502	18666
158	3522	18631
159	3543	18605
160	3569	18599
161	3589	18565
162	3609	18537
163	3630	18507
164	3651	18479
165	3673	18457
166	3695	18430
167	3719	18422
168	3741	18396
169	3765	18386
170	3792	18384
171	3817	18375
172	3842	18370
173	3872	18381
174	3897	18373
175	3921	18358
176	3943	18337
177	3966	18316
178	3989	18295
179	4013	18284
180	4041	18285
181	4061	18255
182	4082	18224
183	4103	18200
184	4125	18173
185	4149	18159
186	4174	18147
187	4194	18117
188	4216	18092
189	4237	18065
190	4258	18038
191	4278	18007
192	4300	17980
193	4324	17965
194	4351	17962
195	4375	17946
196	4396	17922
197	4419	17900
198	4441	17877
199	4466	17864
200	4492	17859
201	4515	17838
202	4536	17810
203	4557	17784
204	4579	17760
205	4600	17731
206	4623	17713
207	4650	17708
208	4673	17687
209	4693	17656
210	4714	17629
211	4736	17607
212	4758	17583
213	4780	17557
214	4805	17545
215	4825	17516
216	4847	17492
217	4870	17470
218	4893	17451
219	4917	17434
220	4940	17414
221	4965	17400
222	4987	17378
223	5007	17345
224	5026	17313
225	5045	17281
226	5065	17250
227	5088	17229
228	5109	17202
229	5132	17182
230	5152	17153
231	5172	17123
232	5191	17090
233	5212	17062
234	5232	17033
235	5252	17004
236	5273	16975
237	5297	16961
238	5317	16932
239	5337	16901
240	5357	16872
241	5376	16841
242	5396	16811
243	5416	16781
244	5435	16751
245	5458	16730
246	5477	16699
247	5497	16671
248	5518	16643
249	5538	16614
250	5557	16584
251	5576	16553
252	5597	16527
253	5619	16503
254	5639	16475
255	5659	16447
256	5679	16418
257	5699	16390
258	5718	16360
259	5740	16338
260	5763	16317
261	5784	16294
262	5804	16266
263	5823	16236
264	5843	16207
265	5863	16178
266	5882	16148
267	5902	16120
268	5926	16105
269	5948	16082
270	5967	16054
271	5987	16026
272	6005	15992
273	6023	15961
274	6043	15932
275	6063	15905
276	6086	15886
277	6105	15856
278	6125	15828
279	6144	15800
280	6163	15771
281	6183	15743
282	6202	15715
283	6222	15688
284	6245	15667
285	6264	15639
286	6283	15610
287	6303	15583
288	6323	15556
289	6342	15528
290	6361	15499
291	6381	15473
292	6404	15453
293	6424	15426
294	6443	15399
295	6464	15374
296	6492	15367
297	6511	15339
298	6539	15331
299	6561	15310
300	6581	15283
301	6600	15254
302	6619	15226
303	6638	15199
304	6657	15171
305	6677	15143
306	6697	15118
307	6719	15097
308	6739	15071
309	6758	15043
310	6779	15019
311	6799	14993
312	6818	14966
313	6839	14941
314	6861	14921
315	6882	14898
316	6902	14871
317	6922	14845
318	6941	14819
319	6960	14791
320	6980	14766
321	6998	14736
322	7020	14714
323	7041	14690
324	7060	14663
325	7079	14636
326	7098	14609
327	7117	14583
328	7137	14557
329	7157	14531
330	7179	14510
331	7199	14486
332	7219	14461
333	7239	14435
334	7258	14409
335	7278	14383
336	7297	14356
337	7316	14330
338	7338	14308
339	7359	14285
340	7379	14260
341	7398	14234
342	7418	14209
343	7437	14182
344	7456	14156
345	7475	14130
346	7498	14110
347	7518	14086
348	7538	14061
349	7557	14035
350	7577	14010
351	7596	13984
352	7615	13958
353	7635	13933
354	7657	13913
355	7676	13887
356	7695	13861
357	7715	13836
358	7734	13810
359	7754	13785
360	7773	13760
361	7793	13735
362	7815	13714
363	7835	13691
364	7855	13666
365	7874	13640
366	7894	13615
367	7913	13591
368	7932	13565
369	7952	13539
370	7975	13521
371	7994	13496
372	8012	13468
373	8031	13442
374	8050	13417
375	8069	13392
376	8089	13367
377	8108	13342
378	8130	13321
379	8150	13298
380	8170	13274
381	8190	13250
382	8209	13226
383	8229	13201
384	8248	13176
385	8268	13151
386	8290	13131
387	8311	13110
388	8331	13085
389	8350	13061
390	8370	13037
391	8388	13011
392	8408	12986
393	8428	12963
394	8451	12945
395	8471	12920
396	8490	12896
397	8511	12874
398	8530	12849
399	8550	12825
400	8569	12801
401	8589	12776
402	8612	12758
403	8631	12734
404	8651	12710
405	8670	12685
406	8690	12661
407	8709	12637
408	8729	12614
409	8749	12590
410	8772	12571
411	8792	12547
412	8802	12510
413	8821	12486
414	8841	12463
415	8860	12439
416	8880	12415
417	8899	12391
418	8921	12371
419	8941	12347
420	8961	12324
421	8981	12302
422	8999	12276
423	9017	12249
424	9035	12224
425	9055	12201
426	9077	12180
427	9098	12159
428	9117	12136
429	9137	12112
430	9156	12088
431	9176	12065
432	9195	12041
433	9214	12017
434	9233	11993
435	9257	11974
436	9277	11952
437	9297	11929
438	9316	11904
439	9336	11882
440	9355	11859
441	9375	11836
442	9395	11813
443	9414	11789
444	9437	11769
445	9457	11747
446	9476	11723
447	9496	11700
448	9515	11677
449	9535	11654
450	9554	11631
451	9574	11608
452	9594	11585
453	9603	11549
454	9624	11527
455	9647	11509
456	9669	11489
457	9689	11466
458	9708	11443
459	9727	11419
460	9746	11395
461	9766	11372
462	9785	11349
463	9808	11330
464	9828	11307
465	9847	11284
466	9867	11261
467	9887	11239
468	9906	11215
469	9925	11192
470	9944	11169
471	9966	11148
472	9987	11127
473	10004	11102
474	10023	11078
475	10042	11055
476	10062	11032
477	10081	11009
478	10101	10986
479	10123	10967
480	10143	10945
481	10163	10922
482	10182	10899
483	10202	10877
484	10222	10854
485	10241	10831
486	10261	10809
487	10283	10789
488	10304	10767
489	10323	10745
490	10343	10722
491	10363	10700
492	10382	10677
493	10401	10654
494	10421	10631
495	10444	10612
496	10463	10589
497	10483	10567
498	10502	10545
499	10521	10521
500	10541	10499
501	10561	10477
502	10580	10454
503	10603	10435
504	10622	10412
505	10642	10390
506	10661	10367
507	10681	10344
508	10700	10322
509	10720	10299
510	10739	10276
511	10763	10258
512	10782	10235
513	10801	10213
514	10820	10190
515	10840	10168
516	10859	10145
517	10879	10123
518	10900	10102
519	10924	10083
520	10944	10061
521	10964	10040
522	10982	10016
523	11000	9993
524	11019	9970
525	11039	9948
526	11059	9926
527	11082	9906
528	11101	9884
529	11121	9862
530	11141	9840
531	11160	9817
532	11179	9795
533	11199	9773
534	11219	9751
535	11241	9731
536	11261	9709
537	11280	9687
538	11300	9665
539	11319	9642
540	11339	9621
541	11359	9599
542	11380	9577
543	11402	9557
544	11421	9535
545	11441	9513
546	11460	9491
547	11480	9469
548	11499	9447
549	11519	9424
550	11538	9402
551	11559	9381
552	11581	9361
553	11601	9339
554	11620	9317
555	11640	9295
556	11659	9273
557	11678	9251
558	11698	9228
559	11720	9208
560	11741	9187
561	11760	9165
562	11780	9143
563	11799	9121
564	11819	9099
565	11839	9078
566	11858	9056
567	11882	9037
568	11903	9016
569	11923	8994
570	11943	8973
571	11962	8950
572	11979	8927
573	11998	8905
574	12017	8882
575	12041	8863
576	12060	8841
577	12079	8819
578	12099	8797
579	12118	8775
580	12138	8753
581	12158	8732
582	12177	8710
583	12201	8691
584	12219	8668
585	12239	8646
586	12259	8625
587	12279	8604
588	12300	8582
589	12319	8561
590	12341	8540
591	12362	8520
592	12388	8502
593	12416	8486
594	12441	8468
595	12463	8448
596	12484	8427
597	12506	8407
598	12528	8386
599	12547	8364
600	12567	8343
601	12586	8321
602	12605	8299
603	12624	8277
604	12644	8255
605	12665	8234
606	12686	8213
607	12705	8191
608	12725	8170
609	12744	8148
610	12764	8126
611	12783	8104
612	12803	8082
613	12826	8063
614	12846	8042
615	12865	8020
616	12885	7998
617	12904	7976
618	12923	7954
619	12944	7933
620	12963	7911
621	12984	7890
622	13003	7869
623	13020	7845
624	13039	7823
625	13058	7801
626	13078	7780
627	13097	7758
628	13117	7736
629	13136	7715
630	13158	7694
631	13179	7673
632	13199	7652
633	13218	7631
634	13239	7609
635	13258	7588
636	13278	7566
637	13297	7545
638	13322	7526
639	13341	7504
640	13361	7483
641	13381	7461
642	13400	7440
643	13419	7418
644	13439	7396
645	13458	7375
646	13483	7356
647	13503	7335
648	13522	7313
649	13542	7292
650	13562	7270
651	13581	7248
652	13600	7227
653	13621	7206
654	13644	7186
655	13664	7165
656	13683	7144
657	13703	7122
658	13722	7100
659	13742	7079
660	13762	7058
661	13782	7036
