iter	MultiClass
0	1.469767161
1	1.081507884
2	0.8890490761
3	0.7071074852
4	0.5989405978
5	0.515290492
6	0.4597434154
7	0.4048483164
8	0.3722068451
9	0.33643486
10	0.33396064
11	0.3144187321
12	0.2909961142
13	0.2816430731
14	0.2503451164
15	0.2386681293
16	0.2311372633
17	0.2157966242
18	0.2080322095
19	0.2037085412
20	0.1965373756
21	0.1887826173
22	0.1733309857
23	0.167827882
24	0.1589305121
25	0.1547693917
26	0.1441143253
27	0.1319579095
28	0.1287852317
29	0.1248171764
30	0.1201658764
31	0.119699513
32	0.1168228732
33	0.1141697044
34	0.1122214701
35	0.1108391349
36	0.1097198861
37	0.1075125355
38	0.1054854592
39	0.1010172992
40	0.0994217247
41	0.09839840168
42	0.09795683675
43	0.0939560016
44	0.09229760932
45	0.08925265951
46	0.08651347244
47	0.08421383986
48	0.08176686798
49	0.07987665464
50	0.07862098541
51	0.07555220145
52	0.07387741135
53	0.07280210306
54	0.07061646164
55	0.06925549335
56	0.06740457819
57	0.06693328896
58	0.06585174112
59	0.06503524309
60	0.0644297004
61	0.06418811068
62	0.06141389563
63	0.06022143822
64	0.05812267568
65	0.05650348035
66	0.05540137669
67	0.05524775599
68	0.05332196751
69	0.05197293843
70	0.05088154996
71	0.04866409857
72	0.04816162081
73	0.04726633412
74	0.04618575769
75	0.04551256059
76	0.04475966669
77	0.04290442973
78	0.04235395149
79	0.04140049627
80	0.04099991498
81	0.04065503625
82	0.0396785323
83	0.0394974189
84	0.03886758687
85	0.03812963353
86	0.03767670197
87	0.03714639944
88	0.03701538796
89	0.03672236941
90	0.03655926099
91	0.03609365409
92	0.0353904813
93	0.03465288276
94	0.03415854406
95	0.03407456647
96	0.0333867628
97	0.03293972296
98	0.03253425641
99	0.03201791146
100	0.03151704122
101	0.03097385835
102	0.03067428648
103	0.03034610252
104	0.03005825647
105	0.02925754628
106	0.02899559927
107	0.0284292442
108	0.02786393482
109	0.02768045748
110	0.02706196103
111	0.02655938993
112	0.02640753736
113	0.02633604668
114	0.02578693485
115	0.02531180514
116	0.02527094796
117	0.02483793481
118	0.02468542973
119	0.02445692659
120	0.0242494955
121	0.02415376864
122	0.02411232527
123	0.02384992953
124	0.02353147816
125	0.02336968378
126	0.02315572126
127	0.02286237451
128	0.02257746139
129	0.02234117804
130	0.0217840805
131	0.02152469667
132	0.02130208116
133	0.02116308292
134	0.02091295833
135	0.0206889381
136	0.02050356266
137	0.0201698054
138	0.01985774204
139	0.01973072122
140	0.01970727857
141	0.01945662845
142	0.01927601987
143	0.01914222109
144	0.01884772618
145	0.01868089207
146	0.01841160929
147	0.01816836036
148	0.01801912494
149	0.01787640995
150	0.01771368933
151	0.01762314808
152	0.01750065942
153	0.0174809204
154	0.01730026313
155	0.01726454753
156	0.01718686018
157	0.01696359413
158	0.01681861004
159	0.01679222025
160	0.01655762414
161	0.01651954895
162	0.01644912627
163	0.01630193518
164	0.01608574752
165	0.01599060465
166	0.01587969371
167	0.01554679395
168	0.01534127106
169	0.01518214978
170	0.01515571813
171	0.01510205325
172	0.01499074892
173	0.01491099663
174	0.01467175827
175	0.0145900387
176	0.01440760785
177	0.01422661305
178	0.01414692035
179	0.01407095524
180	0.01384415952
181	0.01374690327
182	0.01366740347
183	0.01356218368
184	0.01352923748
185	0.01342424908
186	0.01336379305
187	0.01329013866
188	0.01302943877
189	0.01297578729
190	0.01294838363
191	0.01281929111
192	0.01273965804
193	0.012729496
194	0.01262196198
195	0.01257312839
196	0.01254222452
197	0.01252212324
198	0.01246098022
199	0.01241537455
